Designator,Footprint,Quantity,Value,LCSC Part #
C1,402,1,1uF,C52923
"C2, C5",402,2,100nF,C1525
"C3, C4, C6",603,3,10uF,C19702
C7,603,1,100nF,C14663
D1,603,1,C2286,C2286
F1,1812,1,Polyfuse,C960024
FB1,805,1,FerriteBead,C1017
"J1, J2",PinHeader_2x03_P2.54mm_Vertical_SMD,2,Conn_02x02_Counter_Clockwise,C3294461
"J3, J4",PinHeader_1x03_P2.54mm_Vertical,2,Select,C5360899
J6,PinHeader_1x05_P2.54mm_Horizontal,1,Breakout,DNP
L1,L_Sunlord_SWPA4012S,1,2.2uH,C167776
P1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB Type C,C2927038
R1,402,1,2k,C4109
R2,402,1,100,C25076
"R3, R4",402,2,5.1k,C25905
U2,Switch_Side,1,Side_Switch_SMD,C2911519
U4,Texas_DRC0010J_ThermalVias,1,TPS63001,C28060
