Designator,Mid X,Mid Y,Rotation,Layer
C1,164.235,-107.6,0.0,top
C2,164.23,-108.85,0.0,top
C3,126.125,-113.015,180.0,top
C4,126.125,-111.505,180.0,top
C5,123.115,-109.7225,270.0,top
C6,126.125,-105.695,180.0,top
C7,126.125,-104.185,180.0,top
D1,142.725,-105.6875,270.0,top
F1,159.455,-106.57,270.0,top
FB1,163.56,-104.39,0.0,top
J1,170.625,-108.6,0.0,bottom
J2,126.125,-108.6,0.0,bottom
J3,136.384998,-112.63,90.0,top
J4,161.315,-112.625,90.0,top
J6,148.425,-112.63,90.0,top
L1,130.375,-108.6,90.0,top
P1,171.49,-108.695,90.0,top
R1,141.25,-105.29,90.0,top
R2,123.115,-107.4825,270.0,top
R3,164.23,-106.325,0.0,top
R4,165.837,-112.436,90.0,top
U2,150.93,-109.4375,0.0,top
U4,126.125,-108.6,180.0,top
